Category,Question,Answer
IP Management,What are the steps to receive an IP shipment?,"Verify shipment notice, prepare temperature logs, receive IP, inspect packaging, capture temperatures, reconcile contents vs. packing list, update accountability log, file COA/COC, notify PI/Pharmacy of receipt."
IP Management,How do I document IP accountability?,"Maintain site accountability log with lot/kit, subject linkage (if applicable), dispense/return/destroy entries, date/time/initials, second verification where required, and running balance."
IP Management,Who is allowed to dispense IP?,Only delegated and trained personnel listed on the delegation log with dispensing authority and PI oversight as per site SOP and protocol.
IP Management,How do I manage expired or damaged IP?,"Segregate and quarantine immediately, label 'Do Not Use', notify sponsor/pharmacy, document in accountability log, follow sponsor/site SOP for return or destruction with witness."
IP Management,What documentation must accompany IP return/destruction?,"Return/destruction form, chain of custody, shipment records, destruction certificate (if on-site), updated accountability log reflecting zero balance."
IP Management,How do I handle temperature excursions?,"Identify excursion window from logger, quarantine affected IP, notify sponsor within required timeline, complete excursion form, await disposition before use, document actions and final decision."
IP Management,What is required before first dosing?,"Confirm delegation, training, randomization readiness, pre-dose labs within window, eligibility PI sign-off, IP storage and temperature logs in range, accountability initialized."
IP Management,How do I label IP per subject?,"Follow protocol/SOP: subject ID, visit/dispense date, storage conditions, handling precautions; never add PHI; verify against kit/lot and prescription."
IP Management,How often to reconcile IP inventory?,"At each dispense/return and at defined intervals (e.g., weekly/monthly) and before/after monitoring visits; document reconciliation and sign-off."
IP Management,What to do if the wrong kit was dispensed?,"Quarantine kit if unused, notify PI and sponsor immediately, assess subject safety, document deviation and corrective actions, update accountability, follow sponsor instruction."
AE/SAE Reporting,What defines a Serious Adverse Event (SAE)?,"Any untoward event that results in death, is life-threatening, requires or prolongs hospitalization, results in significant disability, congenital anomaly, or other important medical events per protocol/IB."
AE/SAE Reporting,What is the SAE reporting timeline?,"Report to sponsor within 24 hours (or protocol-defined), submit follow-up within required windows, notify IRB per policy for unanticipated problems."
AE/SAE Reporting,How do I assess relatedness and expectedness?,Use PI medical judgment against Investigator Brochure/label; document rationale and source; record as Related/Not Related and Expected/Unexpected.
AE/SAE Reporting,What forms are required for AE documentation?,"Source notes, AE CRF/eCRF entry, severity/relatedness assessments, PI sign-off, concomitant meds, actions taken, outcome, and safety lab results where applicable."
AE/SAE Reporting,Who signs SAE reports?,PI or sub-investigator with appropriate medical license; coordinator may draft but PI must review/approve per SOP.
AE/SAE Reporting,How to handle pregnancy during the study?,"Collect minimal necessary details, stop IP if required by protocol, report to sponsor within required timeline, obtain follow-up outcomes per protocol, protect subject privacy."
AE/SAE Reporting,How do I reconcile AE data with source?,"Cross-check eCRF entries with progress notes, vitals, labs, concomitant meds; resolve discrepancies; document corrections with audit trail."
AE/SAE Reporting,What are unanticipated problems (UPIRTSO)?,"Events unexpected in nature/frequency/seriousness, related or possibly related to participation, and suggest increased risk; report to IRB per policy."
Protocol Deviations,What is a major vs. minor deviation?,Major impacts safety or primary endpoints; minor has limited impact. Follow sponsor/site definitions and document assessment and rationale.
Protocol Deviations,How do I report a deviation?,"Create deviation report with description, date/time, root cause, impact assessment, corrective and preventive actions (CAPA), PI review, and notify sponsor/IRB if required."
Protocol Deviations,How do I prevent repeat deviations?,"Perform root cause analysis, implement CAPA (process change/training/checklist), track effectiveness at subsequent visits, update SOPs if indicated."
Protocol Deviations,What if a subject misses a visit window?,"Check protocol for allowable window and make-up rules, notify PI, arrange next steps, document reason and plan, log deviation if outside window."
